Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.724501
Longitude: -46.677501
Altitude: 771
Situacao: Operante
Data Inicial: 2022-01-01
Data Final: 2022-06-30
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);
2022-01-01;0000;19,3;
2022-01-01;0100;19,3;
2022-01-01;0200;19,3;
2022-01-01;0300;19;
2022-01-01;0400;18,6;
2022-01-01;0500;18,1;
2022-01-01;0600;18,5;
2022-01-01;0700;18,2;
2022-01-01;0800;18,1;
2022-01-01;0900;18,3;
2022-01-01;1000;19,3;
2022-01-01;1100;20,7;
2022-01-01;1200;22,4;
2022-01-01;1300;23,5;
2022-01-01;1400;26,3;
2022-01-01;1500;28,4;
2022-01-01;1600;22,9;
2022-01-01;1700;25,7;
2022-01-01;1800;25,3;
2022-01-01;1900;23,9;
2022-01-01;2000;21,1;
2022-01-01;2100;21,1;
2022-01-01;2200;21,3;
2022-01-01;2300;21,1;
2022-01-02;0000;21,1;
2022-01-02;0100;21,1;
2022-01-02;0200;20,8;
2022-01-02;0300;20,7;
2022-01-02;0400;20,8;
2022-01-02;0500;20,1;
2022-01-02;0600;19,7;
2022-01-02;0700;19,8;
2022-01-02;0800;19,7;
2022-01-02;0900;20,2;
2022-01-02;1000;21,1;
2022-01-02;1100;22,7;
2022-01-02;1200;25,1;
2022-01-02;1300;24,9;
2022-01-02;1400;26,9;
2022-01-02;1500;28;
2022-01-02;1600;28,8;
2022-01-02;1700;29,7;
2022-01-02;1800;24,5;
2022-01-02;1900;24,8;
2022-01-02;2000;24,5;
2022-01-02;2100;22,2;
2022-01-02;2200;21,7;
2022-01-02;2300;22,3;
2022-01-03;0000;22,2;
2022-01-03;0100;22,6;
2022-01-03;0200;22,4;
2022-01-03;0300;21,9;
2022-01-03;0400;21,5;
2022-01-03;0500;21,4;
2022-01-03;0600;21,1;
2022-01-03;0700;20,9;
2022-01-03;0800;20,9;
2022-01-03;0900;21;
2022-01-03;1000;21,8;
2022-01-03;1100;23,3;
2022-01-03;1200;26,1;
2022-01-03;1300;26,9;
2022-01-03;1400;27,4;
2022-01-03;1500;27,8;
2022-01-03;1600;26,3;
2022-01-03;1700;23,6;
2022-01-03;1800;23;
2022-01-03;1900;22,9;
2022-01-03;2000;22,5;
2022-01-03;2100;22,7;
2022-01-03;2200;21,9;
2022-01-03;2300;21,8;
2022-01-04;0000;21,7;
2022-01-04;0100;21,5;
2022-01-04;0200;21,4;
2022-01-04;0300;21,5;
2022-01-04;0400;21,8;
2022-01-04;0500;21,4;
2022-01-04;0600;21,1;
2022-01-04;0700;21;
2022-01-04;0800;20,8;
2022-01-04;0900;20,7;
2022-01-04;1000;23,8;
2022-01-04;1100;24,7;
2022-01-04;1200;26;
2022-01-04;1300;25,9;
2022-01-04;1400;28;
2022-01-04;1500;22;
2022-01-04;1600;23,1;
2022-01-04;1700;22,9;
2022-01-04;1800;21;
2022-01-04;1900;21,2;
2022-01-04;2000;21,6;
2022-01-04;2100;21,5;
2022-01-04;2200;21,2;
2022-01-04;2300;21,7;
2022-01-05;0000;21,3;
2022-01-05;0100;21,3;
2022-01-05;0200;21,2;
2022-01-05;0300;20,7;
2022-01-05;0400;20,5;
2022-01-05;0500;20,4;
2022-01-05;0600;20;
2022-01-05;0700;20,2;
2022-01-05;0800;20,5;
2022-01-05;0900;20,8;
2022-01-05;1000;21,7;
2022-01-05;1100;22,8;
2022-01-05;1200;22,6;
2022-01-05;1300;23,4;
2022-01-05;1400;25;
2022-01-05;1500;26,6;
2022-01-05;1600;27,8;
2022-01-05;1700;28;
2022-01-05;1800;27,3;
2022-01-05;1900;27,7;
2022-01-05;2000;28,3;
2022-01-05;2100;25;
2022-01-05;2200;24,2;
2022-01-05;2300;21,4;
2022-01-06;0000;21,3;
2022-01-06;0100;21;
2022-01-06;0200;20,4;
2022-01-06;0300;20,1;
2022-01-06;0400;20,5;
2022-01-06;0500;20,2;
2022-01-06;0600;20,6;
2022-01-06;0700;20,3;
2022-01-06;0800;20,2;
2022-01-06;0900;20,5;
2022-01-06;1000;21,2;
2022-01-06;1100;21,6;
2022-01-06;1200;22,9;
2022-01-06;1300;24,7;
2022-01-06;1400;24,4;
2022-01-06;1500;24,6;
2022-01-06;1600;24,5;
2022-01-06;1700;22;
2022-01-06;1800;20,7;
2022-01-06;1900;21,1;
2022-01-06;2000;20,2;
2022-01-06;2100;19,6;
2022-01-06;2200;19,2;
2022-01-06;2300;18,9;
2022-01-07;0000;19,1;
2022-01-07;0100;19,1;
2022-01-07;0200;19;
2022-01-07;0300;18,9;
2022-01-07;0400;18,6;
2022-01-07;0500;18,6;
2022-01-07;0600;18,4;
2022-01-07;0700;18,4;
2022-01-07;0800;18,4;
2022-01-07;0900;18,5;
2022-01-07;1000;18,9;
2022-01-07;1100;18,9;
2022-01-07;1200;19,5;
2022-01-07;1300;19,9;
2022-01-07;1400;20,3;
2022-01-07;1500;19,9;
2022-01-07;1600;19,7;
2022-01-07;1700;19,3;
2022-01-07;1800;19,7;
2022-01-07;1900;19,1;
2022-01-07;2000;18,7;
2022-01-07;2100;18,4;
2022-01-07;2200;18,3;
2022-01-07;2300;18,2;
2022-01-08;0000;18,2;
2022-01-08;0100;18,4;
2022-01-08;0200;18,5;
2022-01-08;0300;18,6;
2022-01-08;0400;18,7;
2022-01-08;0500;18,6;
2022-01-08;0600;18,5;
2022-01-08;0700;18,4;
2022-01-08;0800;18,4;
2022-01-08;0900;18,2;
2022-01-08;1000;18,1;
2022-01-08;1100;18,6;
2022-01-08;1200;18,5;
2022-01-08;1300;19;
2022-01-08;1400;19,2;
2022-01-08;1500;19,9;
2022-01-08;1600;19,3;
2022-01-08;1700;18,2;
2022-01-08;1800;17,7;
2022-01-08;1900;18,3;
2022-01-08;2000;18,3;
2022-01-08;2100;16,8;
2022-01-08;2200;16,5;
2022-01-08;2300;17,2;
2022-01-09;0000;17,5;
2022-01-09;0100;17,4;
2022-01-09;0200;17,3;
2022-01-09;0300;16,8;
2022-01-09;0400;16,9;
2022-01-09;0500;16,6;
2022-01-09;0600;16,7;
